epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.2588001462673653,0.9017664252128605,0.9554781971418101,0.9077458659704091,0.9310006248326341,0.1868430633041565,0.9337652987760979,0.9852631578947368,0.9230769230769231,0.9531568228105907,0.0001
2,0.14707383839537794,0.9419240055915619,0.9770840851678094,0.9425587467362925,0.9595109417914415,0.13987953194381522,0.9546436285097192,0.9798183652875883,0.9575936883629191,0.9685785536159601,0.0001
3,0.11528487219196487,0.9565383149065955,0.9847478916203122,0.9552654482158398,0.969782647110797,0.13559748809529862,0.9438444924406048,0.9517374517374517,0.9723865877712031,0.9619512195121951,0.0001
4,0.0963865146059853,0.9598424196212988,0.9869058295964126,0.9577023498694517,0.9720848056537102,0.14333305954986805,0.9481641468682506,0.9738430583501007,0.9546351084812623,0.9641434262948207,0.0001
5,0.07957677828915648,0.9687380861608845,0.9903691813804173,0.9665796344647519,0.9783298097251586,0.1368457886596231,0.9546436285097192,0.9620991253644315,0.9763313609467456,0.9691629955947136,0.0001
6,0.0682042570753206,0.9715338670733257,0.9905811267105029,0.9702349869451697,0.9803024973619416,0.14846402117238253,0.9510439164866811,0.9797160243407708,0.9526627218934911,0.966,0.0001
7,0.050842785809891156,0.9782691574532978,0.9936238044633369,0.9765013054830287,0.9849881485383197,0.1745159837435827,0.9496040316774658,0.9564796905222437,0.97534516765286,0.9658203125,0.0001
8,0.04645667973825795,0.981827424069132,0.9941778405081158,0.9808529155787642,0.9874704284587751,0.16134412741427503,0.9510439164866811,0.9583333333333334,0.97534516765286,0.9667644183773216,5e-05
9,0.03174808869072792,0.987800228745711,0.9968337730870712,0.9864229765013055,0.9916010498687664,0.18758254829813278,0.9524838012958964,0.9619883040935673,0.9733727810650887,0.9676470588235294,5e-05
10,0.028821221088903223,0.9894522811030626,0.9975395430579965,0.9879895561357702,0.9927415828596414,0.16699727399765343,0.9481641468682506,0.9599609375,0.9694280078895463,0.9646712463199215,5e-05
