epoch,train_loss,train_acc,train_precision,train_recall,train_f1,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.3669591023107241,0.838353030880671,0.9328430423843623,0.8389904264577894,0.8834310850439883,0.22826184001412642,0.9157667386609071,0.9628482972136223,0.9201183431952663,0.9409984871406959,0.0001
2,0.23296979262483727,0.9016393442622951,0.9613885279376276,0.9014795474325501,0.9304707150556953,0.1973050194299633,0.9330453563714903,0.9703779366700716,0.9368836291913215,0.9533366783743101,0.0001
3,0.18404122855012944,0.9257847248697421,0.9735731326848963,0.9234116623150566,0.9478291942111846,0.20011130484361456,0.9272858171346292,0.9711042311661506,0.928007889546351,0.9490670700958144,0.0001
4,0.1574401859095097,0.9362053628161139,0.9770700636942675,0.9345517841601393,0.9553380782918149,0.1666542644940365,0.9388048956083513,0.9576354679802955,0.9585798816568047,0.9581074420896993,0.0001
5,0.13041512710171896,0.9461176769602236,0.9815384615384616,0.9439512619669278,0.9623779946761313,0.19992512837052345,0.9344852411807055,0.9713993871297242,0.9378698224852071,0.9543401906673357,0.0001
6,0.1115399086886958,0.9555216673020714,0.9857734557896632,0.952828546562228,0.9690210656753407,0.20068716674190232,0.9388048956083513,0.9783728115345005,0.9368836291913215,0.9571788413098237,0.0001
7,0.09815819593058152,0.9599695005718643,0.9869081779053085,0.9578764142732811,0.9721756028619379,0.20344131530575651,0.9330453563714903,0.960960960960961,0.9467455621301775,0.9538002980625931,5e-05
8,0.06631160504223128,0.9731859194306773,0.9928749554684717,0.9702349869451697,0.9814244211638349,0.20372184179276961,0.9431245500359972,0.9587831207065751,0.9635108481262328,0.9611411706837186,5e-05
9,0.06169100971256918,0.974837971788029,0.9930666666666667,0.9723237597911227,0.9825857519788919,0.21355900109934642,0.9438444924406048,0.9606299212598425,0.9625246548323472,0.961576354679803,5e-05
10,0.05773538965253712,0.9775066717499047,0.9929178470254958,0.9761531766753699,0.9844641446502238,0.22569273065802997,0.9416846652267818,0.9614243323442137,0.9585798816568047,0.96,5e-05
