epoch,train_loss,train_gender_acc,train_age_acc,val_loss,val_gender_acc,val_age_acc,val_score,lr
1,1.2118257013851348,0.8219945766797228,0.678758662247665,0.8801885591180842,0.8953880764904387,0.7561867266591676,0.8257874015748032,0.0001
2,0.8608249659278229,0.8949683639650498,0.757818620066285,0.7882198111077664,0.9069178852643419,0.7769966254218222,0.8419572553430821,0.0001
3,0.7609863450096903,0.9129255799939741,0.7819825248568846,0.7767312422445037,0.9077615298087739,0.7865579302587177,0.8471597300337458,0.0001
4,0.7054308799779282,0.9190117505272672,0.797107562518831,0.7597583057306481,0.9111361079865017,0.7753093363329584,0.84322272215973,0.0001
5,0.651297833627518,0.9307020186803254,0.8051220247062368,0.6943436558321705,0.9271653543307087,0.7938695163104612,0.8605174353205849,0.0001
6,0.6086668181882705,0.935281711358843,0.8202470623681832,0.713652866294333,0.9206974128233971,0.7958380202474691,0.8582677165354331,0.0001
7,0.5708389623709635,0.9402832178366978,0.8314552576077132,0.7085215091638275,0.9274465691788526,0.8014623172103487,0.8644544431946006,0.0001
8,0.5388508531191724,0.943898764688159,0.8408556794215125,0.7213214453816816,0.9282902137232846,0.796962879640045,0.8626265466816647,0.0001
9,0.5000012066896582,0.9489605302802049,0.850677915034649,0.7598359775221388,0.9280089988751407,0.7893700787401575,0.8586895388076491,0.0001
10,0.47063530757866123,0.9556492919554083,0.8568243446821332,0.7664163826689275,0.9232283464566929,0.7935883014623172,0.8584083239595051,5e-05
