epoch,train_loss,train_gender_acc,train_age_group_acc,train_age_mae,val_loss,val_gender_acc,val_age_group_acc,val_age_mae,val_score,lr
1,1.2441461451120426,0.8231394998493522,0.6741789695691474,12.0449915,0.9075612378200879,0.889763779527559,0.7488751406074241,7.3141875,0.8066943,0.0001
2,0.8682773547992896,0.8976800241036457,0.7586622476649594,9.681303,0.7949712806128811,0.9091676040494938,0.7769966254218222,7.1517787,0.82678723,0.0001
3,0.7699210328846029,0.9118409159385357,0.7818017475143115,8.652587,0.7498217618304511,0.9164791901012374,0.7857142857142857,7.599485,0.83021414,0.0001
4,0.7134046918299227,0.9205784874962338,0.7956010846640554,8.0478115,0.7379661042188767,0.9240719910011248,0.7927446569178853,6.366475,0.84428346,0.0001
5,0.6566013434020178,0.9343175655317867,0.8107863814401929,7.4225073,0.7188440080233446,0.9271653543307087,0.7966816647919011,6.449813,0.8465401,0.0001
6,0.6172910125006319,0.9382344079542031,0.8203675805965652,7.0768576,0.7163496625570934,0.9198537682789651,0.8017435320584927,6.7097754,0.8439071,0.0001
7,0.5787722866626417,0.9433564326604399,0.8298282615245556,6.7525616,0.7449980937992091,0.9282902137232846,0.7899325084364455,6.258909,0.845563,0.0001
8,0.546272046575348,0.9470924977402833,0.8383247966254896,6.5848494,0.7321254187279262,0.9254780652418447,0.7994938132733408,6.28726,0.84807366,0.0001
9,0.5147430037582952,0.9494426031937331,0.8483880686953902,6.39616,0.7833934777968378,0.9237907761529809,0.7854330708661418,6.3897505,0.8410912,0.0001
10,0.47431482365419436,0.9550467008134981,0.8614040373606509,6.2705173,0.7884197003125339,0.9277277840269966,0.7933070866141733,6.121061,0.8476069,0.0001
